"","model","no_strategy","strategy"
"e3_tu_gu_sf","e3_tu_gu_sf","3889 (229, 3660)","3509 (238, 3271)"
"e3_tc_gu_sf","e3_tc_gu_sf","3934 (205, 3729)","3530 (215, 3315)"
"e3_tu_gc_sf","e3_tu_gc_sf","3952 (202, 3750)","3603 (234, 3369)"
"e3_tc_gc_sf","e3_tc_gc_sf","4492 (174, 4318)","3791 (181, 3610)"
"p3_tu_gu_sf","p3_tu_gu_sf","3863 (195, 3668)","3499 (214, 3286)"
"p3_tc_gu_sf","p3_tc_gu_sf","3915 (184, 3731)","3526 (196, 3330)"
"p3_tu_gc_sf","p3_tu_gc_sf","3906 (186, 3720)","3563 (205, 3358)"
"p3_tc_gc_sf","p3_tc_gc_sf","4489 (156, 4333)","3798 (165, 3633)"
