"","X","datasets_id","k","generator","dic_constrained_withoutstrategies","dic_constrained_withstrategies","dic_unconstrained_withoutstrategies","dic_unconstrained_withstrategies","dicdiff_with","dicdiff_without","dicdiff_diff","dicdiff_with_filter","dicdiff_without_filter"
"1",1,1,1,"unconstrained",4096.39779788749,4025.11549529038,3796.05213362738,3817.69990550707,207.41558978331,300.34566426011,92.9300744768002,FALSE,FALSE
"2",2,2,2,"unconstrained",3911.75296044341,3645.2576488324,2736.36651281248,2785.03704236005,860.22060647235,1175.38644763093,315.16584115858,FALSE,FALSE
"3",3,3,3,"unconstrained",4120.56607221022,4075.02080538007,3482.83020220363,3487.0380553975,587.98274998257,637.73587000659,49.7531200240201,FALSE,FALSE
"4",4,4,4,"unconstrained",3828.77749267789,3826.98605567681,3128.00587483035,3133.79776519206,693.18829048475,700.77161784754,7.58332736279044,FALSE,FALSE
"5",5,5,5,"unconstrained",4108.05313118569,3953.87170404513,3369.76984638017,3376.1609649556,577.71073908953,738.28328480552,160.57254571599,FALSE,FALSE
"6",6,6,6,"unconstrained",4073.27538082562,4013.39764424731,3433.61421627349,3446.72903776621,566.6686064811,639.66116455213,72.9925580710296,FALSE,FALSE
"7",7,7,7,"unconstrained",4013.13437187729,3927.06771444037,3419.12976742204,3432.34827223423,494.71944220614,594.00460445525,99.2851622491103,FALSE,FALSE
"8",8,8,8,"unconstrained",4207.14002144379,4151.62710223238,3676.5296246045,3698.55157158835,453.07553064403,530.61039683929,77.5348661952598,FALSE,FALSE
"9",9,9,9,"unconstrained",4120.70424329513,4106.61388488287,3127.1992421269,3144.9187288115,961.69515607137,993.50500116823,31.8098450968605,FALSE,FALSE
"10",10,10,10,"unconstrained",3686.72815077004,3660.47538882999,3185.89910428038,3181.65542551538,478.81996331461,500.82904648966,22.0090831750499,FALSE,FALSE
"11",11,11,11,"unconstrained",3746.13576870697,3673.36737073915,3041.06975059439,3071.05684162133,602.31052911782,705.06601811258,102.75548899476,FALSE,FALSE
"12",12,12,12,"unconstrained",4026.71573117458,3920.82769536126,3409.52537017755,3434.62936997218,486.19832538908,617.19036099703,130.99203560795,FALSE,FALSE
"13",13,13,13,"unconstrained",3827.83118960924,3759.73238252343,3053.63383489458,3081.30025623755,678.43212628588,774.19735471466,95.7652284287801,FALSE,FALSE
"14",14,14,14,"unconstrained",3851.5791562545,3847.64591605454,3446.43698844844,3478.09453950223,369.55137655231,405.14216780606,35.59079125375,FALSE,FALSE
