"","model","no_strategy","strategy"
"e3_tu_gu_sf","e3_tu_gu_sf","4285 (213, 4073)","3981 (218, 3763)"
"e3_tc_gu_sf","e3_tc_gu_sf","4327 (192, 4135)","4001 (198, 3804)"
"e3_tu_gc_sf","e3_tu_gc_sf","4396 (199, 4196)","4043 (221, 3822)"
"e3_tc_gc_sf","e3_tc_gc_sf","4934 (193, 4741)","4103 (185, 3918)"
"p3_tu_gu_sf","p3_tu_gu_sf","4286 (188, 4099)","3997 (202, 3795)"
"p3_tc_gu_sf","p3_tc_gu_sf","4320 (178, 4141)","4020 (187, 3833)"
"p3_tu_gc_sf","p3_tu_gc_sf","4351 (200, 4151)","4067 (205, 3863)"
"p3_tc_gc_sf","p3_tc_gc_sf","4880 (140, 4739)","4129 (175, 3954)"
