"","I","F","T"
"beta1",0.223773449682081,6.75649265422996,3.40790781809894
"beta2",1.33247026125006,0.108628203743488,0.480681376245186
"beta3",3.67797714537051,0.855140279188128,0.54549363625734
"beta4",2.71501891494497,-1.79043011382974,1.35285604373836
"beta5",-1.31945525238684,1.63148004884526,0.360870787671851
"beta6",-0.22694248289839,-0.0251995323315939,-0.562090331894443
