"","datasets_id","k","generator","dic_power","dic_exp","dicdiff"
"1",1,1,"exp",4558.64447487119,4322.69584361666,235.948631254527
"2",2,2,"exp",4283.20746346333,4170.21102957383,112.996433889498
"3",3,3,"exp",4472.83302082411,4208.00501057434,264.828010249769
"4",4,4,"exp",4655.32094792648,4173.36430545479,481.956642471689
"5",5,5,"exp",4558.1741451689,4377.61838823413,180.555756934774
"6",6,6,"exp",4238.72370529672,4061.49406226291,177.229643033815
"7",7,7,"exp",3971.66491792671,3752.35418717503,219.310730751682
"8",8,8,"exp",4365.51524871386,4123.8750146738,241.640234040052
"9",9,9,"exp",4214.9926487576,3675.80668404461,539.185964712981
"10",10,10,"exp",4767.78033752322,4640.15776811291,127.622569410313
"11",11,11,"exp",4138.30129685168,3839.80159334814,298.499703503534
"12",12,12,"exp",4459.82379499911,4263.30665704588,196.517137953223
"13",13,13,"exp",3953.38397550967,3565.78331185291,387.600663656756
"14",14,14,"exp",4995.92161482305,4840.19878715533,155.722827667722
"15",15,15,"exp",4073.53174273854,3722.63749619628,350.894246542267
"16",16,16,"exp",4589.9677584409,4351.68108598326,238.28667245764
"17",17,17,"exp",4317.91968783574,3727.38850381152,590.531184024212
"18",18,18,"exp",4128.81838277739,3905.11581332959,223.702569447807
"19",19,19,"exp",4413.0174301179,4176.89191740201,236.125512715892
"20",20,20,"exp",4577.42780388939,4412.76078605849,164.667017830905
"21",21,1,"power",4018.37202504357,4128.24663329639,-109.874608252823
"22",22,2,"power",4309.12041973609,4451.02788060084,-141.907460864742
"23",23,3,"power",3939.4222863359,4102.69459021059,-163.272303874689
"24",24,4,"power",4037.80177609941,4180.26917697688,-142.467400877472
"25",25,5,"power",3876.73208746332,4202.87633438802,-326.144246924693
"26",26,6,"power",3575.67407698438,3962.55056211868,-386.876485134299
"27",27,7,"power",4736.54914151585,4792.53758158226,-55.9884400664105
"28",28,8,"power",4108.23555038676,4354.16343445508,-245.927884068326
"29",29,9,"power",4249.31029691209,4396.96428091092,-147.653983998834
"30",30,10,"power",4159.8219120185,4468.00014221259,-308.17823019409
"31",31,11,"power",3891.8649474523,4075.87696875884,-184.012021306538
"32",32,12,"power",4160.25767030734,4235.70715269393,-75.4494823865889
"33",33,13,"power",4748.99098529384,4880.69417316377,-131.703187869926
"34",34,14,"power",4152.82903296211,4283.9232624085,-131.094229446384
"35",35,15,"power",3314.40812106238,3611.50548619193,-297.097365129544
"36",36,16,"power",3653.2315958147,3892.21173668528,-238.980140870574
"37",37,17,"power",4228.35085847269,4315.14341457033,-86.7925560976373
"38",38,18,"power",4022.5437389738,4239.59698921632,-217.053250242514
"39",39,19,"power",4804.74233087686,4932.8756438428,-128.133312965938
"40",40,20,"power",4105.66320225473,4213.48199567846,-107.818793423731
[1] "Wed Jul 02 17:01:59 2014"
$exp
$exp$prop_better
[1] 1

$exp$mean_dic_improvement
[1] 271.1911

$exp$sd_dic_improvement
[1] 134.0116

$exp$min_dic_improvement
[1] 112.9964

$exp$max_dic_improvement
[1] 590.5312

$exp$N
[1] 20


$power
$power$prop_better
[1] 1

$power$mean_dic_improvement
[1] 181.3213

$power$sd_dic_improvement
[1] 91.82422

$power$min_dic_improvement
[1] 55.98844

$power$max_dic_improvement
[1] 386.8765

$power$N
[1] 20


$n.chains
[1] 2

$n.adapt
[1] 200

$burnin
[1] 1000

$n.iter
[1] 1000

$thin
[1] 1

