"","IG","F","TT"
"lambda1","0.97 (0.78, 1.19)","3.09 (2.45, 3.99)","0.59 (0.44, 0.80)"
"lambda2","1.45 (1.32, 1.60)","1.20 (1.04, 1.36)","1.31 (1.02, 1.69)"
"lambda3","1.51 (1.40, 1.62)","1.10 (1.00, 1.20)","1.24 (1.06, 1.46)"
"lambda4","1.18 (1.10, 1.27)","1.54 (1.39, 1.70)","0.97 (0.81, 1.18)"
"lambda5","1.05 (0.97, 1.13)","0.82 (0.76, 0.89)","0.96 (0.83, 1.11)"
"lambda6","1.01 (0.94, 1.08)","1.25 (1.13, 1.38)","0.79 (0.67, 0.95)"
